titulo,texto,categoria
Visualización de datos con Matplotlib,"Guía práctica para crear gráficos de barras, histogramas y diagramas de dispersión con Matplotlib y Seaborn.",Data Science
Regresión logística con Scikit-Learn,Tutorial sobre cómo entrenar y evaluar un modelo de regresión logística para problemas de clasificación con Scikit-Learn.,Data Science
Almacenamiento local en apps móviles,Se describen estrategias de almacenamiento local como SQLite y SharedPreferences en aplicaciones móviles.,Mobile
Patrones de diseño en backend,"Se presentan patrones de diseño como Repository, Factory y Singleton aplicados al desarrollo de aplicaciones backend en Java.",Backend
Contenedores con Docker,"Introducción a Docker, creación de imágenes, Dockerfiles y contenedores para empaquetar aplicaciones.",DevOps
Autenticación de dos factores,Se explica cómo implementar autenticación de dos factores para reforzar la seguridad de acceso a sistemas.,Seguridad
Servicios de OCI Object Storage,Introducción al almacenamiento de objetos en Oracle Cloud Infrastructure para guardar modelos y documentos.,Cloud
Despliegue continuo en la nube,Buenas prácticas para automatizar el despliegue continuo de aplicaciones en entornos de nube pública.,DevOps
Clustering con K-Means,Introducción al algoritmo K-Means para agrupamiento no supervisado de datos y selección del número de clusters.,Data Science
Modelado de bases de datos relacionales,Se explican los principios de normalización y modelado entidad-relación para bases de datos relacionales.,Bases de Datos
Manejo de excepciones en Spring,Spring Boot permite centralizar el manejo de errores mediante ControllerAdvice y ExceptionHandler para APIs REST robustas.,Backend
Consumo de APIs con Fetch y Axios,Se explica cómo realizar solicitudes HTTP desde el frontend utilizando Fetch API y la librería Axios.,Frontend
Autenticación con JWT en Java,Se explica cómo implementar autenticación basada en tokens JWT en una API REST desarrollada con Spring Boot y Spring Security.,Backend
Índices y optimización de consultas,Se describe cómo los índices mejoran el rendimiento de las consultas en bases de datos relacionales.,Bases de Datos
Desarrollo de apps con Flutter,Introducción al desarrollo de aplicaciones móviles multiplataforma utilizando Flutter y el lenguaje Dart.,Mobile
Infraestructura como código con Terraform,Se explica cómo definir y provisionar infraestructura en la nube utilizando Terraform de forma declarativa.,DevOps
Análisis exploratorio de datos,"Se presenta el proceso de EDA, incluyendo estadística descriptiva, visualización y detección de valores atípicos.",Data Science
Transacciones y propiedades ACID,Se explican las propiedades ACID y el manejo de transacciones en bases de datos relacionales.,Bases de Datos
Manejo de sesiones y cookies,"Este contenido aborda el manejo de sesiones de usuario, cookies seguras y tokens de refresco en aplicaciones backend.",Backend
Limpieza de datos con Pandas,Este contenido cubre técnicas de limpieza y transformación de datos utilizando la librería Pandas en Python.,Data Science
Optimización de rendimiento web,"Técnicas para mejorar el rendimiento de aplicaciones web, incluyendo lazy loading, code splitting y caché de assets.",Frontend
Redes virtuales en la nube,Introducción a la configuración de redes privadas virtuales y balanceadores de carga en entornos cloud.,Cloud
Angular y sus módulos,"Introducción a Angular, su arquitectura basada en módulos, componentes, servicios e inyección de dependencias.",Frontend
Django REST Framework,"Introducción a la construcción de APIs con Python utilizando Django REST Framework, serializers y vistas basadas en clases.",Backend
Notificaciones push en apps móviles,Tutorial sobre la implementación de notificaciones push utilizando Firebase Cloud Messaging.,Mobile
Diseño responsive con CSS Grid,Tutorial sobre CSS Grid y Flexbox para crear diseños web responsivos que se adaptan a distintos tamaños de pantalla.,Frontend
Métricas de evaluación de modelos,"Se describen métricas como precisión, recall, F1-score y matriz de confusión para evaluar modelos de clasificación.",Data Science
Fundamentos de OWASP Top 10,Se presentan las vulnerabilidades más comunes en aplicaciones web según el listado OWASP Top 10.,Seguridad
Gestión de logs centralizados,Se describe cómo centralizar y analizar logs de aplicaciones distribuidas utilizando herramientas como ELK Stack.,DevOps
